"","Employee","salaries_17","salaries_18","change","got_raise"
"1","Employee 1",47031.4820297062,55313.8108551502,8282.32882544398,TRUE
"2","Employee 2",46680.9688904323,53052.4416314438,6371.47274101153,TRUE
"3","Employee 3",45045.9518819116,44868.5743461829,-177.377535728738,FALSE
"4","Employee 4",42971.4937251993,42828.5017807502,-142.991944449022,FALSE
"5","Employee 5",49503.2834936865,54435.429086443,4932.14559275657,TRUE
"6","Employee 6",44595.8089153282,39720.2389175072,-4875.569997821,FALSE
"7","Employee 7",45590.9213121049,44409.2196295969,-1181.70168250799,FALSE
"8","Employee 8",42129.9736830406,45716.9956073631,3587.02192432247,TRUE
"9","Employee 9",45251.4532371424,48259.0316631831,3007.57842604071,TRUE
"10","Employee 10",42824.1978492588,44608.7066852488,1784.50883598998,TRUE
"11","Employee 11",46089.9099730887,48867.6923909225,2777.78241783381,TRUE
"12","Employee 12",46627.4943482131,54514.8567622527,7887.36241403967,TRUE
"13","Employee 13",48712.9227397963,50029.4709624723,1316.54822267592,TRUE
"14","Employee 14",45092.378614936,55090.5365310609,9998.15791612491,TRUE
"15","Employee 15",44087.4912100844,53185.9752896708,9098.48407958634,TRUE
"16","Employee 16",42654.1226962581,46071.9918215182,3417.86912526004,TRUE
"17","Employee 17",44203.3552518114,45248.5311275814,1045.17587576993,TRUE
"18","Employee 18",41507.8054065816,48526.7120087519,7018.90660217032,TRUE
"19","Employee 19",42240.6605561264,45870.1422193553,3629.48166322894,TRUE
"20","Employee 20",49912.7707467414,50802.9395109043,890.168764162809,TRUE
"21","Employee 21",42394.9915915728,49434.9190988578,7039.92750728503,TRUE
"22","Employee 22",49133.1851272844,54708.4089636337,5575.22383634932,TRUE
"23","Employee 23",41606.3695261255,40493.4935888741,-1112.87593725137,FALSE
"24","Employee 24",42830.1705932245,45589.0602432191,2758.88964999467,TRUE
"25","Employee 25",41205.8883882128,46302.434890531,5096.54650231823,TRUE
"26","Employee 26",43236.0583054833,45184.4249560963,1948.36665061302,TRUE
